Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5;L6
1;27;1;1957;45;43;39;31;12;8
2;3;2;1957;27;25;22;11;10;5
3;10;2;1957;49;45;26;20;19;18
4;17;2;1957;45;40;37;14;11;2
5;24;2;1957;49;39;35;15;10;8
6;3;3;1957;47;43;35;31;26;24
7;10;3;1957;44;38;29;23;20;13
8;17;3;1957;47;38;22;15;13;8
9;24;3;1957;42;34;29;27;10;3
10;31;3;1957;25;23;13;6;5;4
11;7;4;1957;39;21;15;13;7;1
12;14;4;1957;46;39;38;31;4;2
13;28;4;1957;38;33;26;22;18;15
14;5;5;1957;48;25;18;11;4;2
15;12;5;1957;33;32;31;28;8;2
16;19;5;1957;34;32;21;19;13;10
17;26;5;1957;36;32;29;25;24;16
18;2;6;1957;33;32;31;12;11;10
19;9;6;1957;46;32;30;23;16;5
20;16;6;1957;48;33;14;11;5;3
21;23;6;1957;39;28;19;16;9;4
22;30;6;1957;36;30;24;21;19;13
23;7;7;1957;33;30;26;24;14;8
24;14;7;1957;49;44;25;14;11;1
25;21;7;1957;33;27;22;13;6;3
26;28;7;1957;35;27;21;19;13;1
27;4;8;1957;48;30;20;15;5;2
28;11;8;1957;37;34;32;21;19;4
29;18;8;1957;44;40;27;17;6;1
30;25;8;1957;49;45;41;39;20;8
31;1;9;1957;48;40;38;17;16;5
32;8;9;1957;48;43;25;21;16;6
33;15;9;1957;42;40;18;16;10;5
34;22;9;1957;48;47;19;16;15;1
35;29;9;1957;48;46;35;30;12;4
36;6;10;1957;30;16;12;9;8;2
37;13;10;1957;36;35;31;27;22;18
38;20;10;1957;45;41;40;37;24;22
39;27;10;1957;34;32;27;14;9;1
40;3;11;1957;40;39;36;28;21;13
41;10;11;1957;47;31;30;28;19;8
42;17;11;1957;48;45;14;9;7;1
43;24;11;1957;49;40;20;18;6;2
44;1;12;1957;44;32;26;14;8;5
45;8;12;1957;47;42;35;24;17;11
46;15;12;1957;49;42;36;19;12;7
